millis,stamp,datetime,humidity,temp
95399999,1669052661,"2022/11/21 17:44:21",29.20,22.40
95699999,1669052961,"2022/11/21 17:49:21",28.80,22.30
95999998,1669053261,"2022/11/21 17:54:21",29.00,22.30
96300000,1669053561,"2022/11/21 17:59:21",29.30,22.20
96599998,1669053861,"2022/11/21 18:4:21",29.20,22.40
96900000,1669054160,"2022/11/21 18:9:20",29.00,22.40
97200000,1669054460,"2022/11/21 18:14:20",29.00,22.40
97499999,1669054760,"2022/11/21 18:19:20",29.20,22.40
97799999,1669055060,"2022/11/21 18:24:20",29.00,22.20
98099998,1669055360,"2022/11/21 18:29:20",28.80,22.40
98399998,1669055660,"2022/11/21 18:34:20",28.70,22.40
98700000,1669055959,"2022/11/21 18:39:19",28.90,22.30
99000000,1669056259,"2022/11/21 18:44:19",28.90,22.30
99299999,1669056559,"2022/11/21 18:49:19",29.00,22.30
99600000,1669056859,"2022/11/21 18:54:19",29.00,22.30
99900000,1669057159,"2022/11/21 18:59:19",29.00,22.40
100199999,1669057458,"2022/11/21 19:4:18",28.80,22.30
100499999,1669057758,"2022/11/21 19:9:18",28.80,22.30
100800000,1669058058,"2022/11/21 19:14:18",28.80,22.30
101099999,1669058358,"2022/11/21 19:19:18",28.80,22.30
101399999,1669058658,"2022/11/21 19:24:18",28.70,22.40
101699999,1669058957,"2022/11/21 19:29:17",28.70,22.30
102000000,1669059257,"2022/11/21 19:34:17",28.70,22.30
102300000,1669059557,"2022/11/21 19:39:17",28.70,22.30
102599999,1669059857,"2022/11/21 19:44:17",29.10,22.30
102899999,1669060157,"2022/11/21 19:49:17",29.20,22.20
103199998,1669060456,"2022/11/21 19:54:16",28.70,22.40
103499999,1669060756,"2022/11/21 19:59:16",28.80,22.50
103799999,1669061056,"2022/11/21 20:4:16",28.80,22.50
104099999,1669061356,"2022/11/21 20:9:16",29.00,22.40
104400000,1669061656,"2022/11/21 20:14:16",28.90,22.30
104699999,1669061956,"2022/11/21 20:19:16",28.70,22.50
104999999,1669062255,"2022/11/21 20:24:15",28.60,22.60
105300000,1669062555,"2022/11/21 20:29:15",29.30,22.50
105600000,1669062855,"2022/11/21 20:34:15",29.30,22.40
105899999,1669063155,"2022/11/21 20:39:15",29.60,22.30
106199999,1669063455,"2022/11/21 20:44:15",29.20,22.40
106499999,1669063754,"2022/11/21 20:49:14",30.40,22.50
106800000,1669064054,"2022/11/21 20:54:14",29.90,22.50
107099999,1669064354,"2022/11/21 20:59:14",29.90,22.40
107399998,1669064654,"2022/11/21 21:4:14",29.90,22.40
107699998,1669064954,"2022/11/21 21:9:14",30.40,22.40
107999998,1669065253,"2022/11/21 21:14:13",31.70,22.40
108299999,1669065553,"2022/11/21 21:19:13",32.10,22.40
108599998,1669065853,"2022/11/21 21:24:13",30.80,22.30
108899998,1669066153,"2022/11/21 21:29:13",30.30,22.30
109200000,1669066453,"2022/11/21 21:34:13",30.00,22.30
109499999,1669066752,"2022/11/21 21:39:12",29.90,22.40
109799999,1669067052,"2022/11/21 21:44:12",29.60,22.40
110099998,1669067352,"2022/11/21 21:49:12",29.40,22.40
110399998,1669067652,"2022/11/21 21:54:12",29.50,22.40
110699999,1669067952,"2022/11/21 21:59:12",29.90,22.40
111000000,1669068252,"2022/11/21 22:4:12",30.60,22.40
